Days postpartum,P15,P25,P50,P75,P85
1,40.8,43.9,88.3,126.5,155.4
2,160.9,163.4,238.5,261,314.6
3,337.9,356,471.5,504.8,573.9
4,492.8,521.5,704.2,756.9,866.3
5,495.7,520.7,589,661.3,712.6
6,521.5,525.2,639.1,673,754.3
7,567.1,579.7,717,788.8,887.7
8,601.7,601.7,774.2,838.1,980.8
9,581.4,583.9,660.6,683.4,738.2
10,622.5,628.6,814,869.3,1001.7
11,615.5,626.7,750.1,814.7,903.5
14,629.8,633.7,752.7,788.2,873.1
21,677.7,680.3,759.1,782.6,838.9
28,711.4,752.3,837.1,909.3,957.5
35,663.3,686.7,750.2,817.5,865.3
42,691.5,710.6,762.9,818.2,857.5
49,720,722.9,813.4,840.4,905.1
56,698.5,721.1,767.7,807.5,834
90,713,735,794.8,858.1,903.1
120,706.2,729.9,778.9,820.7,848.6
150,793.8,821.1,877.8,926.1,958.3
180,693.2,748.5,785.9,877.9,904.3
210,677.8,718.5,757.2,855.4,878.8
240,604.1,615.2,700,805.5,839.5
270,546,614,658.1,803.6,836.7
300,489.4,530.5,642.2,760.6,844.7
330,523.4,523.4,693.7,756.8,897.7
360,368.5,368.5,551.2,618.9,770
